entity_id,account_id,entity_type,date,amount,type,narration
E001,CURR001,msme,2022-01-01,5217.7,credit,UPI/GPAY CUSTOMER
E001,CURR001,msme,2022-01-01,12238.55,credit,UPI/GPAY CUSTOMER
E001,CURR001,msme,2022-01-01,6718.88,credit,RTGS/INVOICE 1234
E001,CURR001,msme,2022-01-01,6718.97,credit,RTGS/INVOICE 1234
E001,CURR001,msme,2022-01-01,14845.45,debit,TDS PAYMENT
E001,CURR001,msme,2022-01-02,14972.16,credit,UPI/CUSTOMER PAY
E001,CURR001,msme,2022-01-02,9764.18,credit,UPI/CUSTOMER PAY
E001,CURR001,msme,2022-01-02,5337.95,debit,EMI/HDFC LOAN
E001,CURR001,msme,2022-01-03,1002.21,credit,NEFT/SALES PAYMENT
E001,CURR001,msme,2022-01-03,17331.76,credit,RTGS/INVOICE 1234
E001,CURR001,msme,2022-01-03,3603.77,credit,NEFT/SALES BULK ORDER
E001,CURR001,msme,2022-01-03,6124.01,debit,TDS PAYMENT
E001,CURR001,msme,2022-01-03,5741.38,debit,GST PAYMENT
E001,CURR001,msme,2022-01-03,2871.0,debit,ELECTRICITY BILL
E001,CURR001,msme,2022-01-04,8935.39,credit,UPI/GPAY CUSTOMER
E001,CURR001,msme,2022-01-04,5365.0,credit,NEFT/SALES PAYMENT
E001,CURR001,msme,2022-01-04,1189.51,debit,UPI/VENDOR PAY
E001,CURR001,msme,2022-01-04,10760.06,debit,RENT/OFFICE
E001,CURR001,msme,2022-01-04,2909.24,debit,GST PAYMENT
E001,CURR001,msme,2022-01-05,4347.23,credit,NEFT/SALES BULK ORDER
E001,CURR001,msme,2022-01-05,5287.39,credit,IMPS/CUSTOMER PAY
E001,CURR001,msme,2022-01-05,8067.33,credit,NEFT/SALES PAYMENT
E001,CURR001,msme,2022-01-05,15647.02,credit,UPI/CUSTOMER PAY
E001,CURR001,msme,2022-01-05,2091.02,debit,TDS PAYMENT
E001,CURR001,msme,2022-01-05,6161.65,debit,RENT/OFFICE
E001,CURR001,msme,2022-01-06,2657.83,credit,UPI/CUSTOMER PAY
E001,CURR001,msme,2022-01-06,9651.91,credit,IMPS/CUSTOMER PAY
E001,CURR001,msme,2022-01-06,16406.11,credit,NEFT/SALES BULK ORDER
E001,CURR001,msme,2022-01-06,7387.03,credit,UPI/GPAY CUSTOMER
E001,CURR001,msme,2022-01-06,3980.76,debit,ELECTRICITY BILL
E001,CURR001,msme,2022-01-06,3560.13,debit,GST PAYMENT
E001,CURR001,msme,2022-01-07,18876.97,credit,NEFT/SALES PAYMENT
E001,CURR001,msme,2022-01-07,4126.83,credit,NEFT/SALES PAYMENT
E001,CURR001,msme,2022-01-07,3431.22,debit,EMI/HDFC LOAN
E001,CURR001,msme,2022-01-07,3059.95,debit,NEFT/SUPPLIER PAY
E001,CURR001,msme,2022-01-07,7541.48,debit,ELECTRICITY BILL
E001,CURR001,msme,2022-01-08,13481.1,credit,RTGS/INVOICE 1234
E001,CURR001,msme,2022-01-08,3923.05,credit,NEFT/SALES PAYMENT
E001,CURR001,msme,2022-01-08,14168.16,credit,UPI/CUSTOMER PAY
E001,CURR001,msme,2022-01-08,9310.35,credit,NEFT/SALES PAYMENT
E001,CURR001,msme,2022-01-08,4368.86,debit,EMI/HDFC LOAN
